,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
304,Texas A&amp;M-Corpus Christi,32,19,13,.594,-5.82,-6.65,13,5,10,3,9,10,2126,2054,,700,1574,.445,152,467,.325,574,841,.683,316,1039,330,218,90,408,661
305,Texas A&amp;M,31,20,11,.645,11.47,6.50,11,7,13,3,7,8,2083,1929,,748,1665,.449,170,492,.346,417,636,.656,351,1126,451,178,92,385,570
306,Texas-Arlington,31,16,15,.516,-3.69,-2.86,10,10,9,6,7,9,2220,2206,,779,1773,.439,205,648,.316,457,679,.673,352,1144,399,206,107,453,654
307,Texas Christian,33,18,15,.545,11.79,6.00,4,14,13,6,5,9,2249,2058,,791,1809,.437,150,459,.327,517,841,.615,445,1214,435,207,176,395,681
308,Texas-El Paso,32,22,10,.688,5.51,-0.52,13,5,14,3,8,7,2216,2023,,781,1662,.470,179,494,.362,475,723,.657,302,1107,442,172,131,396,547
309,Texas-Pan American,31,10,21,.323,-14.46,-4.68,4,10,8,4,2,17,1927,2179,,678,1610,.421,130,433,.300,441,652,.676,322,1000,411,171,102,417,544
310,Texas-San Antonio,30,14,16,.467,-3.19,-2.48,8,10,7,8,7,8,2120,2111,,717,1701,.422,191,587,.325,495,708,.699,387,1071,370,213,69,370,501
311,Texas Southern,34,22,12,.647,-5.99,-6.73,16,2,9,1,13,11,2318,2293,,794,1789,.444,180,562,.320,550,831,.662,386,1174,370,209,106,445,590
312,Texas State,31,14,17,.452,-5.43,-3.54,7,13,9,6,5,11,1905,1854,,664,1645,.404,159,506,.314,418,606,.690,315,1003,345,224,77,395,546
313,Texas Tech,32,13,19,.406,4.48,7.92,3,15,13,6,0,13,1949,2059,,652,1610,.405,169,524,.323,476,742,.642,374,1072,356,187,131,442,558
314,Texas,33,20,13,.606,17.04,9.50,8,10,14,5,6,8,2242,1993,,779,1787,.436,206,607,.339,478,659,.725,410,1310,435,124,260,420,533
315,Toledo,33,20,13,.606,5.31,1.07,11,7,10,4,10,9,2483,2343,,863,1837,.470,195,533,.366,562,757,.742,360,1204,432,170,108,405,563
316,Towson,32,12,20,.375,-6.80,-3.57,5,13,4,9,8,11,2034,2080,,689,1678,.411,134,429,.312,522,787,.663,468,1256,290,113,127,423,672
317,Troy,29,10,19,.345,-8.85,-5.22,5,15,5,9,5,10,1946,2013,,674,1566,.430,192,577,.333,406,612,.663,316,986,271,193,61,410,456
318,Tulane,31,15,16,.484,-1.31,0.52,6,12,9,8,6,8,1973,1984,,699,1700,.411,199,610,.326,376,579,.649,365,1076,349,193,62,397,550
319,Tulsa,32,22,10,.688,7.54,2.87,14,4,12,4,10,6,2056,1914,,709,1697,.418,178,544,.327,460,711,.647,343,1169,351,183,111,365,535
320,UCLA,33,20,13,.606,12.21,8.24,11,7,16,1,4,12,2376,2245,,849,1927,.441,205,564,.363,473,700,.676,406,1253,459,225,123,392,590
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
321,Utah State,31,18,13,.581,3.21,0.57,11,7,11,6,7,7,2064,1973,,721,1596,.452,233,591,.394,389,579,.672,215,978,445,149,142,323,505
